Month,Starting Balance,Deposits/Withdrawals,Net P&L ($),Fees ($),Slippage ($),Ending Balance,Monthly Return %,Cumulative Return %,Trades,Win Rate %,Notes
2024-11,"$17,210.88",$0.00,$-300.75,$3.49,$1.39,"$16,910.12",-1.75%,+69.10%,20,45.0%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $0.83"
2024-12,"$17,577.72",$0.00,$-366.84,$4.09,$1.64,"$17,210.88",-2.09%,+72.11%,20,65.0%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $2.97"
2025-01,"$15,681.30",$0.00,"$+1,896.42",$10.24,$4.10,"$17,577.72",+12.09%,+75.78%,52,50.0%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $1.21"
2025-02,"$17,417.53",$0.00,"$-1,736.23",$7.85,$3.14,"$15,681.30",-9.97%,+56.81%,34,50.0%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $1.92"
2025-03,"$15,832.66",$0.00,"$+1,584.88",$6.39,$2.56,"$17,417.53",+10.01%,+74.18%,36,47.2%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $1.15"
2025-04,"$15,088.83",$0.00,$+743.82,$7.25,$2.90,"$15,832.66",+4.93%,+58.33%,40,52.5%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $1.13"
2025-05,"$13,865.53",$0.00,"$+1,223.30",$8.15,$3.26,"$15,088.83",+8.82%,+50.89%,46,63.0%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $1.52"
2025-06,"$12,747.33",$0.00,"$+1,118.20",$7.69,$3.08,"$13,865.53",+8.77%,+38.66%,52,65.4%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $1.90"
2025-07,"$12,081.41",$0.00,$+665.93,$4.05,$1.62,"$12,747.33",+5.51%,+27.47%,26,61.5%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $1.65"
2025-08,"$11,722.39",$0.00,$+359.02,$4.47,$1.79,"$12,081.41",+3.06%,+20.81%,34,61.8%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $1.41"
2025-09,"$10,754.47",$0.00,$+967.92,$7.35,$2.94,"$11,722.39",+9.00%,+17.22%,58,44.8%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $0.50"
2025-11,"$10,000.00",$0.00,$+754.47,$3.11,$1.25,"$10,754.47",+7.54%,+7.54%,24,50.0%,"Pairs: 2 (BTC/USD, ETH/USD), Avg trade: $0.91"
