Month,Starting Balance,Deposits/Withdrawals,Net P&L ($),Fees ($),Slippage ($),Ending Balance,Monthly Return %,Cumulative Return %,Trades,Win Rate %,Notes
Nov 2024,"$10,000.00",$0.00,"$+1,017.70",$5.09,$2.04,"$11,017.70",+10.18%,+10.18%,50,59.2%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Dec 2024,"$11,017.70",$0.00,$+875.87,$4.38,$1.75,"$11,893.58",+7.95%,+18.94%,62,61.7%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Dec 2024,"$11,893.58",$0.00,$+883.94,$4.42,$1.77,"$12,777.51",+7.43%,+27.78%,55,59.1%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Jan 2025,"$12,777.51",$0.00,"$+1,053.73",$5.27,$2.11,"$13,831.24",+8.25%,+38.31%,69,61.3%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Mar 2025,"$13,831.24",$0.00,"$+1,329.70",$6.65,$2.66,"$15,160.95",+9.61%,+51.61%,59,61.8%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Mar 2025,"$15,160.95",$0.00,"$+1,281.12",$6.41,$2.56,"$16,442.06",+8.45%,+64.42%,59,59.5%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Apr 2025,"$16,442.06",$0.00,"$+1,489.89",$7.45,$2.98,"$17,931.95",+9.06%,+79.32%,59,61.6%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
May 2025,"$17,931.95",$0.00,"$+1,408.90",$7.04,$2.82,"$19,340.85",+7.86%,+93.41%,51,62.7%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Jun 2025,"$19,340.85",$0.00,"$+1,839.66",$9.20,$3.68,"$21,180.51",+9.51%,+111.81%,50,59.1%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Jul 2025,"$21,180.51",$0.00,"$+2,051.51",$10.26,$4.10,"$23,232.02",+9.69%,+132.32%,52,60.9%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Aug 2025,"$23,232.02",$0.00,"$+2,215.54",$11.08,$4.43,"$25,447.56",+9.54%,+154.48%,63,61.4%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
Sep 2025,"$25,447.56",$0.00,"$+2,342.27",$11.71,$4.68,"$27,789.83",+9.20%,+177.90%,66,60.2%,"Pairs: 5 (BTC, ETH, SOL, MATIC, LINK)"
