Month,Starting Balance,Deposits/Withdrawals,Net P&L ($),Fees ($),Slippage ($),Ending Balance,Monthly Return %,Cumulative Return %,Trades,Win Rate %,Notes
2024-12,"$10,000.00",$0.00,$-14.40,$3.69,$1.48,"$9,985.60",-0.14%,-0.14%,26,50.0%,"Pairs: BTC/USD, ETH/USD, Avg trade: $-0.55"
2025-01,"$9,985.60",$0.00,$+35.47,$3.27,$1.31,"$10,021.06",+0.36%,+0.21%,20,75.0%,"Pairs: ETH/USD, BTC/USD, Avg trade: $1.77"
2025-02,"$10,021.06",$0.00,$+18.35,$4.17,$1.67,"$10,039.41",+0.18%,+0.39%,28,57.1%,"Pairs: ETH/USD, BTC/USD, Avg trade: $0.66"
2025-03,"$10,039.41",$0.00,$-6.35,$3.95,$1.58,"$10,033.06",-0.06%,+0.33%,24,41.7%,"Pairs: ETH/USD, BTC/USD, Avg trade: $-0.26"
2025-04,"$10,033.06",$0.00,$-3.66,$4.97,$1.99,"$10,029.39",-0.04%,+0.29%,34,47.1%,"Pairs: BTC/USD, ETH/USD, Avg trade: $-0.11"
2025-05,"$10,029.39",$0.00,$+13.44,$3.70,$1.48,"$10,042.83",+0.13%,+0.43%,24,58.3%,"Pairs: BTC/USD, ETH/USD, Avg trade: $0.56"
2025-06,"$10,042.83",$0.00,$+13.18,$3.23,$1.29,"$10,056.01",+0.13%,+0.56%,21,57.1%,"Pairs: BTC/USD, ETH/USD, Avg trade: $0.63"
2025-07,"$10,056.01",$0.00,$+27.20,$5.25,$2.10,"$10,083.21",+0.27%,+0.83%,36,63.9%,"Pairs: ETH/USD, BTC/USD, Avg trade: $0.76"
2025-08,"$10,083.21",$0.00,$-12.82,$4.83,$1.93,"$10,070.39",-0.13%,+0.70%,33,48.5%,"Pairs: ETH/USD, BTC/USD, Avg trade: $-0.39"
2025-09,"$10,070.39",$0.00,$-25.67,$3.95,$1.58,"$10,044.72",-0.25%,+0.45%,27,37.0%,"Pairs: ETH/USD, BTC/USD, Avg trade: $-0.95"
2025-10,"$10,044.72",$0.00,$-9.52,$5.07,$2.03,"$10,035.20",-0.09%,+0.35%,33,42.4%,"Pairs: BTC/USD, ETH/USD, Avg trade: $-0.29"
2025-11,"$10,035.20",$0.00,$+0.98,$3.76,$1.51,"$10,036.18",+0.01%,+0.36%,24,50.0%,"Pairs: ETH/USD, BTC/USD, Avg trade: $0.04"
